"polygon_num","field","poly_veg_cat","cover_type","perc_cover","poly_type"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","HECO",20,"polygon"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","SALTGRASS",0,"polygon"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","C3_Other",0,"polygon"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","C4_Other",1.3,"polygon"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","DUNG",0,"polygon"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","FORB",1.5,"polygon"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","SD",11.7,"polygon"
80,"SLAYTON_OPPO_MOD","OPPO_MOD","SUBSHRUB",0,"polygon"
89,"1W_PASM","PASM","BARE",35,"polygon"
89,"1W_PASM","PASM","LITT",100,"polygon"
89,"1W_PASM","PASM","BOBU",4,"polygon"
89,"1W_PASM","PASM","OPPO",0,"polygon"
89,"1W_PASM","PASM","PASM",54,"polygon"
89,"1W_PASM","PASM","HECO",0,"polygon"
89,"1W_PASM","PASM","SALTGRASS",0,"polygon"
89,"1W_PASM","PASM","C3_Other",0,"polygon"
89,"1W_PASM","PASM","C4_Other",0,"polygon"
89,"1W_PASM","PASM","DUNG",0.3,"polygon"
89,"1W_PASM","PASM","FORB",6,"polygon"
89,"1W_PASM","PASM","SD",0,"polygon"
89,"1W_PASM","PASM","SUBSHRUB",4,"polygon"
90,"1W_PASM","PASM","BARE",12,"polygon"
90,"1W_PASM","PASM","LITT",53,"polygon"
90,"1W_PASM","PASM","BOBU",3,"polygon"
90,"1W_PASM","PASM","OPPO",0,"polygon"
90,"1W_PASM","PASM","PASM",26,"polygon"
90,"1W_PASM","PASM","HECO",0,"polygon"
90,"1W_PASM","PASM","SALTGRASS",0,"polygon"
90,"1W_PASM","PASM","C3_Other",0,"polygon"
90,"1W_PASM","PASM","C4_Other",0,"polygon"
90,"1W_PASM","PASM","DUNG",0.5,"polygon"
90,"1W_PASM","PASM","FORB",3.3,"polygon"
90,"1W_PASM","PASM","SD",0,"polygon"
90,"1W_PASM","PASM","SUBSHRUB",0,"polygon"
2,"7NW_PASM","PASM","BARE",10,"polygon"
2,"7NW_PASM","PASM","LITT",50.7,"polygon"
2,"7NW_PASM","PASM","BOBU",6,"polygon"
2,"7NW_PASM","PASM","OPPO",0,"polygon"
2,"7NW_PASM","PASM","PASM",28.3,"polygon"
2,"7NW_PASM","PASM","HECO",0,"polygon"
2,"7NW_PASM","PASM","SALTGRASS",0,"polygon"
2,"7NW_PASM","PASM","C3_Other",0,"polygon"
